District,YEAR,Annual_Tonnage,Rat_Reports
1,2011,14657.0,89
1,2012,15018.9,91
1,2013,15349.8,115
1,2014,15640.1,147
1,2015,15670.0,207
1,2016,15792.0,130
1,2017,16273.0,144
1,2018,16485.5,168
1,2019,16383.7,126
1,2020,14680.6,95
1,2021,15777.6,192
1,2022,16265.7,154
1,2023,15927.9,182
1,2024,13941.7,82
2,2011,26954.8,146
2,2012,26062.0,143
2,2013,24955.4,169
2,2014,24575.7,221
2,2015,23980.1,271
2,2016,23672.1,282
2,2017,23441.8,204
2,2018,23578.3,171
2,2019,22480.8,226
2,2020,20949.7,208
2,2021,22670.9,365
2,2022,22011.0,453
2,2023,21357.4,410
2,2024,18224.5,237
3,2011,37622.1,271
3,2012,36931.1,320
3,2013,36064.8,313
3,2014,35677.7,538
3,2015,35391.6,516
3,2016,34962.9,458
3,2017,35189.4,489
3,2018,35827.5,420
3,2019,35367.4,371
3,2020,33707.8,346
3,2021,33602.4,660
3,2022,32704.4,572
3,2023,30848.2,473
3,2024,26455.5,362
4,2011,26920.0,139
4,2012,26744.4,155
4,2013,27028.5,176
4,2014,27474.9,238
4,2015,27040.6,231
4,2016,27276.6,267
4,2017,27927.2,309
4,2018,28795.4,186
4,2019,28045.0,189
4,2020,27138.399999999998,216
4,2021,28190.0,369
4,2022,28274.0,435
4,2023,27927.5,442
4,2024,24276.3,306
5,2011,16155.3,48
5,2012,15786.300000000001,73
5,2013,15624.9,99
5,2014,15489.4,93
5,2015,15326.8,117
5,2016,15700.7,156
5,2017,15770.2,127
5,2018,15847.4,119
5,2019,15525.9,106
5,2020,14179.8,83
5,2021,15152.6,132
5,2022,15345.8,160
5,2023,14971.1,220
5,2024,13221.6,67
6,2011,36564.8,90
6,2012,35576.7,84
6,2013,35064.1,121
6,2014,34678.4,146
6,2015,33977.4,123
6,2016,33802.9,184
6,2017,33931.2,147
6,2018,34495.7,139
6,2019,34043.5,109
6,2020,31414.7,127
6,2021,32735.8,172
6,2022,33219.5,221
6,2023,32691.2,288
6,2024,28058.8,174
7,2011,64649.7,400
7,2012,62532.3,517
7,2013,62534.2,510
7,2014,61496.9,516
7,2015,60041.8,524
7,2016,59292.5,618
7,2017,58931.2,746
7,2018,59094.4,823
7,2019,56333.6,865
7,2020,51776.6,869
7,2021,52850.5,1160
7,2022,51964.9,1593
7,2023,51127.2,1235
7,2024,43722.2,905
8,2011,69473.6,261
8,2012,67258.4,277
8,2013,66039.3,334
8,2014,64381.9,251
8,2015,63034.600000000006,412
8,2016,62145.0,565
8,2017,63134.6,363
8,2018,62726.0,349
8,2019,61116.0,250
8,2020,54318.1,435
8,2021,56908.5,730
8,2022,57306.0,746
8,2023,56308.7,792
8,2024,47877.1,699
9,2011,32158.8,220
9,2012,30399.2,245
9,2013,29970.2,231
9,2014,29498.7,325
9,2015,28370.8,348
9,2016,28369.7,317
9,2017,27679.1,324
9,2018,27226.9,394
9,2019,26247.2,316
9,2020,26603.6,391
9,2021,26315.6,466
9,2022,25500.5,558
9,2023,24774.0,450
9,2024,21628.1,412
10,2011,35220.1,322
10,2012,33704.8,363
10,2013,33721.5,355
10,2014,33452.8,339
10,2015,33065.1,470
10,2016,33081.2,532
10,2017,33275.1,648
10,2018,33449.0,717
10,2019,31764.899999999998,760
10,2020,32536.2,594
10,2021,32529.8,1435
10,2022,30805.8,1288
10,2023,29827.1,964
10,2024,25729.2,945
11,2011,27116.3,131
11,2012,26786.3,165
11,2013,26605.199999999997,213
11,2014,26188.6,244
11,2015,26405.5,310
11,2016,26733.8,442
11,2017,26817.1,351
11,2018,27234.6,341
11,2019,27363.4,460
11,2020,26910.6,375
11,2021,27709.0,438
11,2022,27931.7,489
11,2023,27797.4,433
11,2024,24109.9,331
12,2011,64334.0,327
12,2012,61109.799999999996,379
12,2013,59573.5,344
12,2014,59570.6,442
12,2015,57622.9,562
12,2016,58010.5,556
12,2017,57932.0,570
12,2018,57980.2,399
12,2019,56114.7,403
12,2020,59208.0,363
12,2021,58106.7,716
12,2022,54182.0,672
12,2023,53298.3,638
12,2024,46290.6,647
